key	bytes	etag
exp-b11/index-0	619	0ee7fb8dacd3a2912b55e9b58aad7578
exp-b11/index.latest	8	7dea362b3fac8e00956a4952a3d4f474
exp-b11/indices/EPrwDCT5T-6VZ6_UzNn-6g/0/__6hWyhATGQh2TT-GCyEFp0A	742	81367df4ff30119912b854d771a285e9
exp-b11/indices/EPrwDCT5T-6VZ6_UzNn-6g/0/__V9__MU7TSx225KM6ni1yxQ	486768	471c0ffb9eb6ef4eb0a5708027415058
exp-b11/indices/EPrwDCT5T-6VZ6_UzNn-6g/0/index-IPOLi7AqRN29qpN94f0-QA	901	1e0126aa6b17b537f25748b2c11e4ca8
exp-b11/indices/EPrwDCT5T-6VZ6_UzNn-6g/meta-oQJ1O6ABKa75d7VCJJfG.dat	556	ac5d67c8b1af61069028ad4c4ee562e2
exp-b11/meta-aM1Fe-UsQpONyWNHJbCl4w.dat	212	85a57bae906739c559cca6933274d5d5
exp-b11/snap-aM1Fe-UsQpONyWNHJbCl4w.dat	313	fabf4dcf34b7e3536aabb42cc395609f
