data_blob	bytes	ref_count	referencing_snapshot_uuids
base-s/indices/23PewvPeSIipJ0w0z-3ypQ/0/__2cCGkm5uQf6Tw1qQ96W_ow	742	3	UIF8pAV-QPyCLMnHvHtzYA,tJyJxYawQwiWDGV4EvJYlg,xb4MFxb7SRu6ltyR_5mk_Q
base-s/indices/23PewvPeSIipJ0w0z-3ypQ/0/__R1fKKxcwSd6OcfgtNcl99w	742	1	tJyJxYawQwiWDGV4EvJYlg
base-s/indices/23PewvPeSIipJ0w0z-3ypQ/0/__ocOz3nmvQoCISRh0va80RA	486768	3	UIF8pAV-QPyCLMnHvHtzYA,tJyJxYawQwiWDGV4EvJYlg,xb4MFxb7SRu6ltyR_5mk_Q
base-s/indices/23PewvPeSIipJ0w0z-3ypQ/0/__qBc58MdXQ2KxZm_FZECRfQ	24544	1	tJyJxYawQwiWDGV4EvJYlg
base-s/indices/UXdt_l7dRxGjcj2NMCWFbw/0/__27_yjuX2QPyUrE-2VlGx9A	742	3	UIF8pAV-QPyCLMnHvHtzYA,tJyJxYawQwiWDGV4EvJYlg,xb4MFxb7SRu6ltyR_5mk_Q
base-s/indices/UXdt_l7dRxGjcj2NMCWFbw/0/__6HfSS9VGSUy_86kMSv-_Kw	486768	3	UIF8pAV-QPyCLMnHvHtzYA,tJyJxYawQwiWDGV4EvJYlg,xb4MFxb7SRu6ltyR_5mk_Q
