cycle	utc	mode	settle	shards_read	segments_condemned	deleted	failed	unconfirmed	reclaimable	exit
1	2026-08-27T02:29:58Z	segment	ready/docs=3830/fresh=2	10/22	0	0	0	0	131.91 KB across 244 orphaned objects (131,914 bytes)	0
2	2026-08-27T02:31:37Z	segment	ready/docs=3830/fresh=2	10/22	0	0	0	0	131.91 KB across 244 orphaned objects (131,914 bytes)	0
